,buys,sells,winners,losers
52,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')",1,0
53,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')",13,8
54,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')",11,9
55,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'lower_lows_3d', 'placeholder_1')",13,9
56,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'lower_lows_4d', 'placeholder_1')",11,9
57,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'placeholder_1', 'placeholder_2')",12,11
58,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('higher_highs_3d', 'higher_highs_4d', 'lower_lows_3d')",10,4
59,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('higher_highs_3d', 'higher_highs_4d', 'lower_lows_4d')",1,1
60,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('higher_highs_3d', 'higher_highs_4d', 'placeholder_1')",18,6
61,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('higher_highs_3d', 'lower_lows_3d', 'lower_lows_4d')",7,3
62,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('higher_highs_3d', 'lower_lows_3d', 'placeholder_1')",13,6
63,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('higher_highs_3d', 'lower_lows_4d', 'placeholder_1')",7,3
64,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('higher_highs_3d', 'placeholder_1', 'placeholder_2')",16,8
65,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('higher_highs_4d', 'lower_lows_3d', 'lower_lows_4d')",1,1
66,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('higher_highs_4d', 'lower_lows_3d', 'placeholder_1')",10,4
67,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('higher_highs_4d', 'lower_lows_4d', 'placeholder_1')",1,1
68,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('higher_highs_4d', 'placeholder_1', 'placeholder_2')",18,6
69,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('lower_lows_3d', 'lower_lows_4d', 'placeholder_1')",14,10
70,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('lower_lows_3d', 'placeholder_1', 'placeholder_2')",15,9
71,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('lower_lows_4d', 'placeholder_1', 'placeholder_2')",14,10
72,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')",2108,1543
73,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')",159,251
74,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')",39,114
75,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')",82,128
76,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')",1,0
77,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')",2108,1543
78,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')",1145,2324
79,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('macd_bearish_divergence_30d', 'lower_lows_3d', 'placeholder_1')",1343,2587
80,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('macd_bearish_divergence_30d', 'lower_lows_4d', 'placeholder_1')",1145,2324
81,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('macd_bearish_divergence_30d', 'placeholder_1', 'placeholder_2')",2066,2077
82,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('higher_highs_3d', 'higher_highs_4d', 'lower_lows_3d')",1216,385
83,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('higher_highs_3d', 'higher_highs_4d', 'lower_lows_4d')",130,29
84,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('higher_highs_3d', 'higher_highs_4d', 'placeholder_1')",2983,1212
85,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('higher_highs_3d', 'lower_lows_3d', 'lower_lows_4d')",1001,531
86,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('higher_highs_3d', 'lower_lows_3d', 'placeholder_1')",1846,734
87,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('higher_highs_3d', 'lower_lows_4d', 'placeholder_1')",1001,531
88,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('higher_highs_3d', 'placeholder_1', 'placeholder_2')",2832,1374
89,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('higher_highs_4d', 'lower_lows_3d', 'lower_lows_4d')",130,29
90,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('higher_highs_4d', 'lower_lows_3d', 'placeholder_1')",1216,385
91,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('higher_highs_4d', 'lower_lows_4d', 'placeholder_1')",130,29
92,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('higher_highs_4d', 'placeholder_1', 'placeholder_2')",2983,1212
93,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('lower_lows_3d', 'lower_lows_4d', 'placeholder_1')",2123,2080
94,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('lower_lows_3d', 'placeholder_1', 'placeholder_2')",1913,2296
95,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')","('lower_lows_4d', 'placeholder_1', 'placeholder_2')",2123,2080
96,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')",13,7
97,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')",0,1
98,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')",0,0
99,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')",15,8
100,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')",0,0
101,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')",13,7
102,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')",8,12
103,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('macd_bearish_divergence_30d', 'lower_lows_3d', 'placeholder_1')",9,12
104,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('macd_bearish_divergence_30d', 'lower_lows_4d', 'placeholder_1')",8,12
105,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('macd_bearish_divergence_30d', 'placeholder_1', 'placeholder_2')",11,13
106,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('higher_highs_3d', 'higher_highs_4d', 'lower_lows_3d')",10,2
107,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('higher_highs_3d', 'higher_highs_4d', 'lower_lows_4d')",0,1
108,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('higher_highs_3d', 'higher_highs_4d', 'placeholder_1')",16,7
109,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('higher_highs_3d', 'lower_lows_3d', 'lower_lows_4d')",7,1
110,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('higher_highs_3d', 'lower_lows_3d', 'placeholder_1')",15,3
111,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('higher_highs_3d', 'lower_lows_4d', 'placeholder_1')",7,1
112,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('higher_highs_3d', 'placeholder_1', 'placeholder_2')",16,8
113,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('higher_highs_4d', 'lower_lows_3d', 'lower_lows_4d')",0,1
114,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('higher_highs_4d', 'lower_lows_3d', 'placeholder_1')",10,2
115,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('higher_highs_4d', 'lower_lows_4d', 'placeholder_1')",0,1
116,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('higher_highs_4d', 'placeholder_1', 'placeholder_2')",16,7
117,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('lower_lows_3d', 'lower_lows_4d', 'placeholder_1')",10,14
118,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('lower_lows_3d', 'placeholder_1', 'placeholder_2')",12,12
119,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')","('lower_lows_4d', 'placeholder_1', 'placeholder_2')",10,14
120,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')",0,1
121,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')",0,0
122,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')",0,0
123,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')",0,1
124,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')",0,0
125,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')",0,1
126,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')",0,1
127,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'lower_lows_3d', 'placeholder_1')",0,1
128,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'lower_lows_4d', 'placeholder_1')",0,1
129,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'placeholder_1', 'placeholder_2')",0,1
130,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('higher_highs_3d', 'higher_highs_4d', 'lower_lows_3d')",0,1
131,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('higher_highs_3d', 'higher_highs_4d', 'lower_lows_4d')",0,1
132,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('higher_highs_3d', 'higher_highs_4d', 'placeholder_1')",0,1
133,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('higher_highs_3d', 'lower_lows_3d', 'lower_lows_4d')",0,1
134,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('higher_highs_3d', 'lower_lows_3d', 'placeholder_1')",0,1
135,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('higher_highs_3d', 'lower_lows_4d', 'placeholder_1')",0,1
136,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('higher_highs_3d', 'placeholder_1', 'placeholder_2')",0,1
137,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('higher_highs_4d', 'lower_lows_3d', 'lower_lows_4d')",0,1
138,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('higher_highs_4d', 'lower_lows_3d', 'placeholder_1')",0,1
139,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('higher_highs_4d', 'lower_lows_4d', 'placeholder_1')",0,1
140,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('higher_highs_4d', 'placeholder_1', 'placeholder_2')",0,1
141,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('lower_lows_3d', 'lower_lows_4d', 'placeholder_1')",0,1
142,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('lower_lows_3d', 'placeholder_1', 'placeholder_2')",0,1
143,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')","('lower_lows_4d', 'placeholder_1', 'placeholder_2')",0,1
144,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')",977,708
145,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')",67,122
146,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')",13,55
147,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')",1054,778
148,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')",34,63
149,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')",0,0
150,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')",526,1105
151,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('macd_bearish_divergence_30d', 'lower_lows_3d', 'placeholder_1')",593,1255
