max_loss,max_daily_loss,max_gain,max_daily_gain,max_drawdown,drawdown_days,start_date,end_date,mv_6,mv_0
-0.1,-0.05,0.3,0.1,0.025,15,2016-01-01,2020-09-01,5202.0,8086.0
-0.1,-0.05,0.3,0.1,0.025,20,2016-01-01,2020-09-01,7938.0,8211.0
-0.1,-0.05,0.3,0.1,0.05,10,2016-01-01,2020-09-01,7906.0,7691.0
-0.1,-0.05,0.3,0.1,0.05,15,2016-01-01,2020-09-01,7752.0,7494.0
-0.1,-0.05,0.3,0.1,0.05,20,2016-01-01,2020-09-01,8403.0,7716.0
-0.1,-0.05,0.3,0.2,0.01,10,2016-01-01,2020-09-01,6604.0,6162.0
-0.1,-0.05,0.3,0.2,0.01,15,2016-01-01,2020-09-01,5461.0,5746.0
-0.1,-0.05,0.3,0.2,0.01,20,2016-01-01,2020-09-01,5295.0,5867.0
-0.1,-0.05,0.3,0.2,0.025,10,2016-01-01,2020-09-01,6473.0,8344.0
-0.1,-0.05,0.3,0.2,0.025,15,2016-01-01,2020-09-01,5337.0,8065.0
-0.1,-0.05,0.3,0.2,0.025,20,2016-01-01,2020-09-01,8564.0,8113.0
-0.1,-0.05,0.3,0.2,0.05,10,2016-01-01,2020-09-01,8872.0,7897.0
-0.1,-0.05,0.3,0.2,0.05,15,2016-01-01,2020-09-01,9364.0,7550.0
-0.1,-0.05,0.3,0.2,0.05,20,2016-01-01,2020-09-01,8490.0,7598.0
-0.1,-0.05,0.3,0.3,0.01,10,2016-01-01,2020-09-01,6602.0,6159.0
-0.1,-0.05,0.3,0.3,0.01,15,2016-01-01,2020-09-01,5457.0,5746.0
-0.1,-0.05,0.3,0.3,0.01,20,2016-01-01,2020-09-01,5260.0,5867.0
-0.1,-0.05,0.3,0.3,0.025,10,2016-01-01,2020-09-01,6583.0,8381.0
-0.1,-0.05,0.3,0.3,0.025,15,2016-01-01,2020-09-01,5073.0,8045.0
-0.1,-0.05,0.3,0.3,0.025,20,2016-01-01,2020-09-01,7925.0,7907.0
-0.1,-0.05,0.3,0.3,0.05,10,2016-01-01,2020-09-01,8762.0,7863.0
-0.1,-0.05,0.3,0.3,0.05,15,2016-01-01,2020-09-01,9356.0,7499.0
-0.1,-0.05,0.3,0.3,0.05,20,2016-01-01,2020-09-01,8355.0,6941.0
-0.1,-0.05,0.5,0.1,0.01,10,2016-01-01,2020-09-01,6316.0,6238.0
-0.1,-0.05,0.5,0.1,0.01,15,2016-01-01,2020-09-01,5515.0,5631.0
-0.1,-0.05,0.5,0.1,0.01,20,2016-01-01,2020-09-01,5335.0,5535.0
-0.1,-0.05,0.5,0.1,0.025,10,2016-01-01,2020-09-01,6921.0,8599.0
-0.1,-0.05,0.5,0.1,0.025,15,2016-01-01,2020-09-01,5158.0,7992.0
-0.1,-0.05,0.5,0.1,0.025,20,2016-01-01,2020-09-01,8635.0,8400.0
-0.1,-0.05,0.5,0.1,0.05,10,2016-01-01,2020-09-01,7750.0,7455.0
-0.1,-0.05,0.5,0.1,0.05,15,2016-01-01,2020-09-01,7907.0,7612.0
-0.1,-0.05,0.5,0.1,0.05,20,2016-01-01,2020-09-01,8203.0,7597.0
-0.1,-0.05,0.5,0.2,0.01,10,2016-01-01,2020-09-01,6469.0,6064.0
-0.1,-0.05,0.5,0.2,0.01,15,2016-01-01,2020-09-01,5462.0,5746.0
-0.1,-0.05,0.5,0.2,0.01,20,2016-01-01,2020-09-01,5304.0,5872.0
-0.1,-0.05,0.5,0.2,0.025,10,2016-01-01,2020-09-01,6605.0,8326.0
-0.1,-0.05,0.5,0.2,0.025,15,2016-01-01,2020-09-01,4714.0,8152.0
-0.1,-0.05,0.5,0.2,0.025,20,2016-01-01,2020-09-01,9151.0,8220.0
-0.1,-0.05,0.5,0.2,0.05,10,2016-01-01,2020-09-01,8825.0,7914.0
-0.1,-0.05,0.5,0.2,0.05,15,2016-01-01,2020-09-01,9355.0,7588.0
-0.1,-0.05,0.5,0.2,0.05,20,2016-01-01,2020-09-01,8293.0,7651.0
