max_loss,max_daily_loss,max_gain,max_daily_gain,max_drawdown,drawdown_days,start_date,end_date,mv
-0.3,-0.2,0.3,0.2,0.01,30,2017-06-30,2018-06-30,5572.0
-0.2,-0.2,0.5,0.2,0.01,30,2017-06-30,2018-06-30,5572.0
-0.3,-0.2,0.5,0.2,0.025,10,2017-06-30,2018-06-30,5567.0
-0.3,-0.2,0.67,0.2,0.025,10,2017-06-30,2018-06-30,5567.0
-0.2,-0.1,0.3,0.1,0.01,30,2017-06-30,2018-06-30,5564.0
-0.2,-0.1,0.5,0.1,0.01,30,2017-06-30,2018-06-30,5564.0
-0.2,-0.1,0.67,0.1,0.01,30,2017-06-30,2018-06-30,5564.0
-0.2,-0.2,0.5,0.2,0.05,10,2017-06-30,2018-06-30,5559.0
-0.2,-0.2,0.67,0.2,0.05,10,2017-06-30,2018-06-30,5559.0
-0.2,-0.2,0.67,0.1,0.01,30,2017-06-30,2018-06-30,5555.0
-0.2,-0.2,0.5,0.1,0.01,30,2017-06-30,2018-06-30,5555.0
-0.2,-0.2,0.3,0.1,0.01,30,2017-06-30,2018-06-30,5555.0
-0.3,-0.2,0.67,0.1,0.01,30,2017-06-30,2018-06-30,5554.0
-0.3,-0.2,0.3,0.1,0.01,30,2017-06-30,2018-06-30,5554.0
-0.3,-0.2,0.5,0.1,0.01,30,2017-06-30,2018-06-30,5554.0
-0.3,-0.1,0.67,0.1,0.05,10,2017-06-30,2018-06-30,5540.0
-0.3,-0.1,0.5,0.1,0.05,10,2017-06-30,2018-06-30,5540.0
-0.2,-0.2,0.3,0.2,0.05,10,2017-06-30,2018-06-30,5535.0
-0.3,-0.2,0.5,0.2,0.05,10,2017-06-30,2018-06-30,5513.0
-0.3,-0.2,0.67,0.2,0.05,10,2017-06-30,2018-06-30,5513.0
-0.3,-0.2,0.3,0.2,0.005,10,2017-06-30,2018-06-30,5498.0
-0.2,-0.2,0.67,0.2,0.005,10,2017-06-30,2018-06-30,5498.0
-0.3,-0.2,0.67,0.2,0.005,10,2017-06-30,2018-06-30,5498.0
-0.2,-0.2,0.3,0.2,0.005,10,2017-06-30,2018-06-30,5498.0
-0.2,-0.2,0.5,0.2,0.005,10,2017-06-30,2018-06-30,5498.0
-0.3,-0.2,0.5,0.2,0.005,10,2017-06-30,2018-06-30,5498.0
-0.3,-0.2,0.67,0.1,0.005,10,2017-06-30,2018-06-30,5493.0
-0.3,-0.1,0.3,0.2,0.005,10,2017-06-30,2018-06-30,5493.0
-0.2,-0.1,0.3,0.2,0.005,10,2017-06-30,2018-06-30,5493.0
-0.3,-0.2,0.3,0.1,0.005,10,2017-06-30,2018-06-30,5493.0
-0.2,-0.1,0.5,0.2,0.005,10,2017-06-30,2018-06-30,5493.0
-0.3,-0.1,0.5,0.2,0.005,10,2017-06-30,2018-06-30,5493.0
-0.3,-0.1,0.67,0.2,0.005,10,2017-06-30,2018-06-30,5493.0
-0.2,-0.1,0.67,0.2,0.005,10,2017-06-30,2018-06-30,5493.0
-0.3,-0.2,0.5,0.1,0.005,10,2017-06-30,2018-06-30,5493.0
