symbol,description,industry,sector,market_cap
MRVI,"Maravai LifeSciences Holdings, Inc.",Healthcare,Biotechnology,10.34B
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors,5.68B
SPGI,S&P Global Inc.,Financial,Financial Data & Stock Exchanges,84.49B
STWD,"Starwood Property Trust, Inc.",Real Estate,REIT - Mortgage,6.97B
CHWY,"Chewy, Inc.",Consumer Cyclical,Internet Retail,36.41B
NTR,Nutrien Ltd.,Basic Materials,Agricultural Inputs,33.51B
TWOU,"2U, Inc.",Consumer Defensive,Education & Training Services,2.98B
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,23.06B
MDLA,"Medallia, Inc.",Technology,Software - Application,4.53B
HUYA,HUYA Inc.,Communication Services,Entertainment,6.00B
QSR,Restaurant Brands International Inc.,Consumer Cyclical,Restaurants,19.56B
MYOV,Myovant Sciences Ltd.,Healthcare,Biotechnology,2.20B
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,26.79B
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,16.55B
BLMN,"Bloomin' Brands, Inc.",Consumer Cyclical,Restaurants,2.41B
BIGC,"BigCommerce Holdings, Inc.",Technology,Software - Application,4.15B
KBR,"KBR, Inc.",Industrials,Engineering & Construction,4.71B
DEI,"Douglas Emmett, Inc.",Real Estate,REIT - Office,5.79B
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,34.55B
HGV,Hilton Grand Vacations Inc.,Consumer Cyclical,Resorts & Casinos,3.53B
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,47.39B
VRNS,"Varonis Systems, Inc.",Technology,Software - Infrastructure,2.04B
SRC,"Spirit Realty Capital, Inc.",Real Estate,REIT - Diversified,5.02B
MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,41.47B
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,57.32B
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,25.70B
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,8.66B
BJ,"BJ's Wholesale Club Holdings, Inc.",Consumer Defensive,Discount Stores,5.88B
WM,"Waste Management, Inc.",Industrials,Waste Management,51.12B
LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,36.22B
AMX,"America Movil, S.A.B. de C.V.",Communication Services,Telecom Services,45.31B
AZUL,Azul S.A.,Industrials,Airlines,2.42B
VER,"VEREIT, Inc.",Real Estate,REIT - Diversified,9.10B
CIM,Chimera Investment Corporation,Real Estate,REIT - Mortgage,2.93B
DT,"Dynatrace, Inc.",Technology,Software - Application,15.73B
PACW,PacWest Bancorp,Financial,Banks - Regional,4.66B
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,16.22B
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,19.65B
PFG,"Principal Financial Group, Inc.",Financial,Insurance - Diversified,16.58B
TGNA,TEGNA Inc.,Communication Services,Broadcasting,4.29B
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,32.35B
Z,"Zillow Group, Inc.",Communication Services,Internet Content & Information,24.97B
TEL,TE Connectivity Ltd.,Technology,Electronic Components,44.62B
SBH,"Sally Beauty Holdings, Inc.",Consumer Cyclical,Specialty Retail,2.38B
ADS,Alliance Data Systems Corporation,Financial,Credit Services,5.67B
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,18.60B
USFD,US Foods Holding Corp.,Consumer Defensive,Food Distribution,8.82B
PLNT,"Planet Fitness, Inc.",Consumer Cyclical,Leisure,7.34B
SIX,Six Flags Entertainment Corporation,Consumer Cyclical,Leisure,4.16B
BGS,"B&G Foods, Inc.",Consumer Defensive,Packaged Foods,2.05B
LIN,Linde plc,Basic Materials,Specialty Chemicals,140.05B
NNN,"National Retail Properties, Inc.",Real Estate,REIT - Retail,7.76B
HFC,HollyFrontier Corporation,Energy,Oil & Gas Refining & Marketing,6.62B
MCHP,Microchip Technology Incorporated,Technology,Semiconductors,40.48B
ETR,Entergy Corporation,Utilities,Utilities - Diversified,19.18B
HES,Hess Corporation,Energy,Oil & Gas E&P,22.16B
FSLR,"First Solar, Inc.",Technology,Solar,8.65B
AIRC,Apartment Income REIT Corp.,Real Estate,REIT - Residential,6.58B
SLQT,"SelectQuote, Inc.",Financial,Insurance Brokers,4.63B
NTAP,"NetApp, Inc.",Technology,Computer Hardware,15.41B
BLUE,"bluebird bio, Inc.",Healthcare,Biotechnology,2.21B
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,182.29B
DKS,"DICK'S Sporting Goods, Inc.",Consumer Cyclical,Specialty Retail,6.84B
COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,3.34B
COUP,Coupa Software Incorporated,Technology,Software - Application,21.12B
STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,10.14B
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,16.18B
UMPQ,Umpqua Holdings Corporation,Financial,Banks - Regional,3.98B
HSBC,HSBC Holdings plc,Financial,Banks - Diversified,119.95B
UGP,Ultrapar Participacoes S.A.,Energy,Oil & Gas Refining & Marketing,3.73B
UNFI,"United Natural Foods, Inc.",Consumer Defensive,Food Distribution,2.07B
BE,Bloom Energy Corporation,Industrials,Electrical Equipment & Parts,5.18B
OKTA,"Okta, Inc.",Technology,Software - Infrastructure,31.63B
JEF,Jefferies Financial Group Inc.,Financial,Financial Conglomerates,8.01B
TDS,"Telephone and Data Systems, Inc.",Communication Services,Telecom Services,2.43B
TOL,"Toll Brothers, Inc.",Consumer Cyclical,Residential Construction,7.22B
SSRM,SSR Mining Inc.,Basic Materials,Gold,3.39B
ICE,"Intercontinental Exchange, Inc.",Financial,Financial Data & Stock Exchanges,64.90B
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,157.82B
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,19.97B
ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,6.23B
KNX,Knight-Swift Transportation Holdings Inc.,Industrials,Trucking,7.42B
CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,14.27B
SI,Silvergate Capital Corporation,Financial,Banks - Regional,3.80B
FLGT,"Fulgent Genetics, Inc.",Healthcare,Diagnostics & Research,3.22B
YNDX,Yandex N.V.,Communication Services,Internet Content & Information,24.26B
BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,11.80B
TRP,TC Energy Corporation,Energy,Oil & Gas Midstream,45.72B
STAG,"STAG Industrial, Inc.",Real Estate,REIT - Industrial,5.32B
CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,8.59B
RCI,Rogers Communications Inc.,Communication Services,Telecom Services,24.83B
AXTA,Axalta Coating Systems Ltd.,Basic Materials,Specialty Chemicals,6.95B
JKS,"JinkoSolar Holding Co., Ltd.",Technology,Solar,2.15B
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,34.93B
AYX,"Alteryx, Inc.",Technology,Software - Application,5.95B
AON,Aon plc,Financial,Insurance Brokers,50.96B
EPC,Edgewell Personal Care Company,Consumer Defensive,Household & Personal Products,2.02B
CHX,ChampionX Corporation,Energy,Oil & Gas Equipment & Services,5.04B
OVV,Ovintiv Inc.,Energy,Oil & Gas E&P,7.22B
GOOS,Canada Goose Holdings Inc.,Consumer Cyclical,Apparel Manufacturing,2.59B
GLUU,Glu Mobile Inc.,Communication Services,Electronic Gaming & Multimedia,2.18B
PNC,"The PNC Financial Services Group, Inc.",Financial,Banks - Regional,73.83B
AMT,American Tower Corporation (REIT),Real Estate,REIT - Specialty,96.51B
MUFG,"Mitsubishi UFJ Financial Group, Inc.",Financial,Banks - Diversified,76.10B
PGR,The Progressive Corporation,Financial,Insurance - Property & Casualty,54.55B
NOVA,Sunnova Energy International Inc.,Technology,Solar,4.43B
BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,12.40B
AEG,Aegon N.V.,Financial,Insurance - Diversified,10.33B
CUK,Carnival Corporation & plc,Consumer Cyclical,Leisure,31.73B
KL,Kirkland Lake Gold Ltd.,Basic Materials,Gold,9.27B
ATHM,Autohome Inc.,Communication Services,Internet Content & Information,11.82B
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,11.18B
APPH,"AppHarvest, Inc.",Consumer Defensive,Farm Products,2.29B
MDRX,"Allscripts Healthcare Solutions, Inc.",Healthcare,Health Information Services,2.19B
AFRM,"Affirm Holdings, Inc.",Technology,Information Technology Services,21.38B
HYLN,Hyliion Holdings Corp.,Consumer Cyclical,Auto Parts,2.49B
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,29.73B
BBL,BHP Group,Basic Materials,Other Industrial Metals & Mining,167.29B
PEB,Pebblebrook Hotel Trust,Real Estate,REIT - Hotel & Motel,3.40B
HIMS,"Hims & Hers Health, Inc.",Consumer Defensive,Household & Personal Products,2.79B
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,73.47B
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,2.19B
STOR,STORE Capital Corporation,Real Estate,REIT - Diversified,9.05B
VIV,Telefonica Brasil S.A.,Communication Services,Telecom Services,12.92B
VIRT,"Virtu Financial, Inc.",Financial,Capital Markets,5.56B
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,30.80B
PBA,Pembina Pipeline Corporation,Energy,Oil & Gas Midstream,16.91B
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,13.01B
ZM,"Zoom Video Communications, Inc.",Communication Services,Telecom Services,104.46B
CSIQ,Canadian Solar Inc.,Technology,Solar,2.70B
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,21.01B
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,13.22B
REAL,"The RealReal, Inc.",Consumer Cyclical,Specialty Retail,2.17B
SPLK,Splunk Inc.,Technology,Software - Infrastructure,22.78B
TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,7.70B
CI,Cigna Corporation,Healthcare,Healthcare Plans,84.83B
KC,Kingsoft Cloud Holdings Limited,Technology,Software - Application,11.54B
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,28.42B
PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,35.67B
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,115.74B
MTDR,Matador Resources Company,Energy,Oil & Gas E&P,3.14B
HWM,Howmet Aerospace Inc.,Industrials,Specialty Industrial Machinery,13.83B
DNB,"Dun & Bradstreet Holdings, Inc.",Technology,Information Technology Services,10.03B
GRWG,GrowGeneration Corp.,Consumer Cyclical,Home Improvement Retail,2.84B
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,96.90B
BCE,BCE Inc.,Communication Services,Telecom Services,41.02B
BLL,Ball Corporation,Consumer Cyclical,Packaging & Containers,27.64B
PRU,"Prudential Financial, Inc.",Financial,Insurance - Life,36.66B
EC,Ecopetrol S.A.,Energy,Oil & Gas Integrated,28.99B
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,7.39B
ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty,34.91B
ADI,"Analog Devices, Inc.",Technology,Semiconductors,56.26B
NTNX,"Nutanix, Inc.",Technology,Software - Infrastructure,5.77B
EBR,Centrais Eletricas Brasileiras S.A.,Utilities,Utilities - Regulated Electric,9.34B
IGT,International Game Technology PLC,Consumer Cyclical,Gambling,3.98B
LX,LexinFintech Holdings Ltd.,Financial,Credit Services,2.27B
STM,STMicroelectronics N.V.,Technology,Semiconductors,33.58B
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,10.66B
HRB,"H&R Block, Inc.",Consumer Cyclical,Personal Services,3.71B
OGE,OGE Energy Corp.,Utilities,Utilities - Regulated Electric,6.53B
DASH,"DoorDash, Inc.",Communication Services,Internet Content & Information,46.16B
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,19.86B
TD,The Toronto-Dominion Bank,Financial,Banks - Diversified,118.53B
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,13.65B
OSTK,"Overstock.com, Inc.",Consumer Cyclical,Internet Retail,3.34B
FNB,F.N.B. Corporation,Financial,Banks - Regional,4.15B
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,37.89B
RSI,"Rush Street Interactive, Inc.",Consumer Cyclical,Gambling,4.05B
TEF,"Telefonica, S.A.",Communication Services,Telecom Services,26.33B
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,37.98B
MFC,Manulife Financial Corporation,Financial,Insurance - Life,41.27B
NUAN,"Nuance Communications, Inc.",Technology,Software - Application,12.87B
DNMR,"Danimer Scientific, Inc.",Basic Materials,Specialty Chemicals,3.61B
DNP,DNP Select Income Fund Inc.,Financial,Closed-End Fund - Equity,3.11B
MXIM,"Maxim Integrated Products, Inc.",Technology,Semiconductors,24.15B
FAF,First American Financial Corporation,Financial,Insurance - Specialty,6.15B
YUMC,"Yum China Holdings, Inc.",Consumer Cyclical,Restaurants,26.55B
LTHM,Livent Corporation,Basic Materials,Specialty Chemicals,2.71B
UDR,"UDR, Inc.",Real Estate,REIT - Residential,13.07B
MMP,"Magellan Midstream Partners, L.P.",Energy,Oil & Gas Midstream,10.32B
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,9.77B
TAK,Takeda Pharmaceutical Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic,59.49B
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,89.77B
ASAN,"Asana, Inc.",Technology,Software - Application,5.49B
SWCH,"Switch, Inc.",Technology,Information Technology Services,3.61B
EB,"Eventbrite, Inc.",Technology,Software - Application,2.41B
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,16.67B
GS,"The Goldman Sachs Group, Inc.",Financial,Capital Markets,117.36B
CELH,"Celsius Holdings, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,3.65B
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,45.07B
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,13.23B
WRK,WestRock Company,Consumer Cyclical,Packaging & Containers,13.41B
SYY,Sysco Corporation,Consumer Defensive,Food Distribution,41.28B
SRE,Sempra Energy,Utilities,Utilities - Diversified,39.37B
SONO,"Sonos, Inc.",Technology,Consumer Electronics,5.10B
XLNX,"Xilinx, Inc.",Technology,Semiconductors,31.77B
SITC,SITE Centers Corp.,Real Estate,REIT - Retail,2.90B
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Financial,Banks - Diversified,36.46B
GLPI,"Gaming and Leisure Properties, Inc.",Real Estate,REIT - Specialty,10.29B
ACN,Accenture plc,Technology,Information Technology Services,176.98B
STNE,StoneCo Ltd.,Technology,Software - Application,23.26B
LU,Lufax Holding Ltd,Financial,Credit Services,37.36B
NVS,Novartis AG,Healthcare,Drug Manufacturers - General,211.09B
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,21.14B
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,27.37B
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,331.79B
ROKU,"Roku, Inc.",Communication Services,Entertainment,47.05B
SFM,"Sprouts Farmers Market, Inc.",Consumer Defensive,Grocery Stores,2.92B
HUN,Huntsman Corporation,Basic Materials,Chemicals,6.18B
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Office,38.16B
TOT,TOTAL SE,Energy,Oil & Gas Integrated,128.24B
FNF,"Fidelity National Financial, Inc.",Financial,Insurance - Specialty,12.09B
ISBC,"Investors Bancorp, Inc.",Financial,Banks - Regional,3.58B
BAM,Brookfield Asset Management Inc.,Financial,Asset Management,65.14B
SHLS,"Shoals Technologies Group, Inc.",Technology,Solar,6.29B
UNIT,Uniti Group Inc.,Real Estate,REIT - Specialty,2.77B
HOG,"Harley-Davidson, Inc.",Consumer Cyclical,Recreational Vehicles,5.53B
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,33.43B
RPRX,Royalty Pharma plc,Healthcare,Biotechnology,28.61B
STT,State Street Corporation,Financial,Asset Management,29.36B
RDS-B,Royal Dutch Shell plc,Energy,Oil & Gas Integrated,153.61B
EH,EHang Holdings Limited,Industrials,Aerospace & Defense,2.80B
TU,TELUS Corporation,Communication Services,Telecom Services,26.66B
UNM,Unum Group,Financial,Insurance - Life,5.86B
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,24.97B
OFC,Corporate Office Properties Trust,Real Estate,REIT - Office,3.12B
NYT,The New York Times Company,Communication Services,Publishing,8.49B
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,19.81B
SBS,Companhia de Saneamento Basico do Estado de Sao Paulo,Utilities,Utilities - Regulated Water,4.71B
ADBE,Adobe Inc.,Technology,Software - Infrastructure,217.81B
LNC,Lincoln National Corporation,Financial,Insurance - Life,12.00B
ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,67.55B
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,45.89B
CLR,"Continental Resources, Inc.",Energy,Oil & Gas E&P,11.08B
LXP,Lexington Realty Trust,Real Estate,REIT - Diversified,3.16B
VRM,"Vroom, Inc.",Consumer Cyclical,Auto & Truck Dealerships,4.91B
BHP,BHP Group,Basic Materials,Other Industrial Metals & Mining,167.09B
COMM,"CommScope Holding Company, Inc.",Technology,Communication Equipment,3.33B
VG,Vonage Holdings Corp.,Communication Services,Telecom Services,3.06B
DQ,Daqo New Energy Corp.,Technology,Semiconductor Equipment & Materials,5.92B
APH,Amphenol Corporation,Technology,Electronic Components,39.35B
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas E&P,38.30B
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,17.95B
BDN,Brandywine Realty Trust,Real Estate,REIT - Office,2.32B
BFLY,"Butterfly Network, Inc.",Healthcare,Medical Devices,3.02B
XRX,Xerox Holdings Corporation,Technology,Information Technology Services,5.11B
RVLV,"Revolve Group, Inc.",Consumer Cyclical,Internet Retail,3.78B
MGP,MGM Growth Properties LLC,Real Estate,REIT - Diversified,15.60B
PBF,PBF Energy Inc.,Energy,Oil & Gas Refining & Marketing,2.13B
NLOK,NortonLifeLock Inc.,Technology,Software - Infrastructure,12.50B
MUR,Murphy Oil Corporation,Energy,Oil & Gas E&P,3.03B
AXP,American Express Company,Financial,Credit Services,117.78B
ORI,Old Republic International Corporation,Financial,Insurance - Diversified,6.69B
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,22.29B
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,46.99B
MAT,"Mattel, Inc.",Consumer Cyclical,Leisure,7.53B
ETSY,"Etsy, Inc.",Consumer Cyclical,Internet Retail,28.10B
MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,49.36B
HON,Honeywell International Inc.,Industrials,Specialty Industrial Machinery,149.05B
PACB,"Pacific Biosciences of California, Inc.",Healthcare,Diagnostics & Research,7.13B
VNO,Vornado Realty Trust,Real Estate,REIT - Office,9.08B
CNC,Centene Corporation,Healthcare,Healthcare Plans,35.94B
BMBL,Bumble Inc.,Technology,Software - Application,8.54B
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,43.57B
NET,"Cloudflare, Inc.",Technology,Software - Infrastructure,23.30B
FOLD,"Amicus Therapeutics, Inc.",Healthcare,Biotechnology,2.86B
SKX,"Skechers U.S.A., Inc.",Consumer Cyclical,Footwear & Accessories,6.41B
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,44.02B
SID,Companhia Siderurgica Nacional,Basic Materials,Steel,8.58B
OHI,"Omega Healthcare Investors, Inc.",Real Estate,REIT - Healthcare Facilities,8.77B
SUMO,"Sumo Logic, Inc.",Technology,Software - Application,2.28B
BRX,Brixmor Property Group Inc.,Real Estate,REIT - Retail,6.15B
CSX,CSX Corporation,Industrials,Railroads,71.26B
NWL,Newell Brands Inc.,Consumer Defensive,Household & Personal Products,10.89B
CCI,Crown Castle International Corp. (REIT),Real Estate,REIT - Specialty,68.38B
BRFS,BRF S.A.,Consumer Defensive,Packaged Foods,3.50B
CWH,"Camping World Holdings, Inc.",Consumer Cyclical,Recreational Vehicles,3.86B
STX,Seagate Technology plc,Technology,Computer Hardware,17.52B
KAR,"KAR Auction Services, Inc.",Consumer Cyclical,Specialty Retail,2.11B
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,54.03B
DD,"DuPont de Nemours, Inc.",Basic Materials,Chemicals,41.19B
NAVI,Navient Corporation,Financial,Credit Services,2.42B
INSM,Insmed Incorporated,Healthcare,Biotechnology,3.88B
AER,AerCap Holdings N.V.,Industrials,Airports & Air Services,8.09B
FISV,"Fiserv, Inc.",Technology,Information Technology Services,83.00B
APPS,"Digital Turbine, Inc.",Technology,Software - Application,7.52B
CNHI,CNH Industrial N.V.,Industrials,Farm & Heavy Construction Machinery,21.23B
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,80.38B
DRH,DiamondRock Hospitality Company,Real Estate,REIT - Hotel & Motel,2.34B
APLE,"Apple Hospitality REIT, Inc.",Real Estate,REIT - Hotel & Motel,3.42B
OSH,"Oak Street Health, Inc.",Healthcare,Medical Care Facilities,13.86B
SPWR,SunPower Corporation,Technology,Solar,6.24B
DELL,Dell Technologies Inc.,Technology,Computer Hardware,66.81B
CNX,CNX Resources Corporation,Energy,Oil & Gas E&P,3.24B
OUT,Outfront Media Inc. (REIT),Real Estate,REIT - Specialty,3.39B
VLY,Valley National Bancorp,Financial,Banks - Regional,5.57B
ASX,"ASE Technology Holding Co., Ltd.",Technology,Semiconductors,16.11B
AFL,Aflac Incorporated,Financial,Insurance - Life,35.33B
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,31.44B
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,39.82B
NUE,Nucor Corporation,Basic Materials,Steel,20.14B
WOOF,"Petco Health and Wellness Company, Inc.",Consumer Cyclical,Specialty Retail,5.11B
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,23.44B
MPLN,MultiPlan Corporation,Healthcare,Healthcare Plans,4.17B
UBS,UBS Group AG,Financial,Banks - Diversified,59.48B
EQT,EQT Corporation,Energy,Oil & Gas E&P,5.40B
FSLY,"Fastly, Inc.",Technology,Software - Application,8.81B
IIVI,II-VI Incorporated,Technology,Scientific & Technical Instruments,7.97B
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,136.76B
DFS,Discover Financial Services,Financial,Credit Services,30.89B
GRUB,Grubhub Inc.,Communication Services,Internet Content & Information,6.39B
FE,FirstEnergy Corp.,Utilities,Utilities - Diversified,18.99B
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,34.81B
INFN,Infinera Corporation,Technology,Communication Equipment,2.01B
UNP,Union Pacific Corporation,Industrials,Railroads,142.74B
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,10.21B
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,1563.92B
MPLX,MPLX LP,Energy,Oil & Gas Midstream,27.24B
PAAS,Pan American Silver Corp.,Basic Materials,Silver,6.93B
TDOC,"Teladoc Health, Inc.",Healthcare,Health Information Services,30.86B
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,33.46B
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,74.71B
ETRN,Equitrans Midstream Corporation,Energy,Oil & Gas Midstream,3.55B
AIG,"American International Group, Inc.",Financial,Insurance - Diversified,41.43B
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,13.30B
ARRY,"Array Technologies, Inc.",Technology,Solar,4.56B
PSEC,Prospect Capital Corporation,Financial,Asset Management,2.96B
DRE,Duke Realty Corporation,Real Estate,REIT - Industrial,15.03B
AVTR,"Avantor, Inc.",Basic Materials,Specialty Chemicals,16.78B
MOMO,Momo Inc.,Communication Services,Internet Content & Information,3.57B
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,32.75B
TPX,"Tempur Sealy International, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",7.84B
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,12.88B
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,41.94B
SDC,"SmileDirectClub, Inc.",Healthcare,Medical Devices,4.52B
SBSW,Sibanye Stillwater Limited,Basic Materials,Gold,14.06B
AMRN,Amarin Corporation plc,Healthcare,Biotechnology,2.55B
LMND,"Lemonade, Inc.",Financial,Insurance - Property & Casualty,6.83B
VIAV,Viavi Solutions Inc.,Technology,Communication Equipment,3.82B
MAS,Masco Corporation,Industrials,Building Products & Equipment,14.84B
AVGO,Broadcom Inc.,Technology,Semiconductors,193.24B
BYND,"Beyond Meat, Inc.",Consumer Defensive,Packaged Foods,9.35B
ATVI,"Activision Blizzard, Inc.",Communication Services,Electronic Gaming & Multimedia,71.65B
ADT,ADT Inc.,Industrials,Security & Protection Services,6.94B
O,Realty Income Corporation,Real Estate,REIT - Retail,23.45B
SPR,"Spirit AeroSystems Holdings, Inc.",Industrials,Aerospace & Defense,5.31B
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,54.94B
RRC,Range Resources Corporation,Energy,Oil & Gas E&P,2.85B
COF,Capital One Financial Corporation,Financial,Credit Services,60.69B
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,40.34B
D,"Dominion Energy, Inc.",Utilities,Utilities - Diversified,59.15B
VFC,V.F. Corporation,Consumer Cyclical,Apparel Manufacturing,31.41B
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,145.16B
FLR,Fluor Corporation,Industrials,Engineering & Construction,2.93B
BOX,"Box, Inc.",Technology,Software - Infrastructure,3.40B
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,24.20B
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,70.29B
PAA,"Plains All American Pipeline, L.P.",Energy,Oil & Gas Midstream,7.10B
LAC,Lithium Americas Corp.,Basic Materials,Other Industrial Metals & Mining,2.08B
EXPI,"eXp World Holdings, Inc.",Real Estate,Real Estate Services,7.51B
DB,Deutsche Bank Aktiengesellschaft,Financial,Banks - Regional,25.45B
PSTH,"Pershing Square Tontine Holdings, Ltd.",Financial,Shell Companies,5.54B
ASB,Associated Banc-Corp,Financial,Banks - Regional,3.38B
ARCC,Ares Capital Corporation,Financial,Asset Management,8.25B
FLEX,Flex Ltd.,Technology,Electronic Components,9.18B
AMWL,American Well Corporation,Healthcare,Health Information Services,5.41B
KKR,KKR & Co. Inc.,Financial,Asset Management,41.87B
QRTEA,"Qurate Retail, Inc.",Consumer Cyclical,Internet Retail,5.30B
MBT,Mobile TeleSystems Public Joint Stock Company,Communication Services,Telecom Services,8.71B
WEN,The Wendy's Company,Consumer Cyclical,Restaurants,4.77B
MTG,MGIC Investment Corporation,Financial,Insurance - Specialty,4.53B
WPM,Wheaton Precious Metals Corp.,Basic Materials,Gold,17.39B
NVTA,Invitae Corporation,Healthcare,Diagnostics & Research,8.49B
CS,Credit Suisse Group AG,Financial,Banks - Diversified,33.01B
NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,6.53B
AGI,Alamos Gold Inc.,Basic Materials,Gold,3.15B
MMM,3M Company,Industrials,Specialty Industrial Machinery,109.52B
EQNR,Equinor ASA,Energy,Oil & Gas Integrated,67.46B
VRT,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,7.45B
