symbol,description,industry,sector,market_cap
WHR,Whirlpool Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",13.22B
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,30.67B
PDCO,"Patterson Companies, Inc.",Healthcare,Medical Distribution,3.11B
VMC,Vulcan Materials Company,Basic Materials,Building Materials,22.86B
STE,STERIS plc,Healthcare,Medical Instruments & Supplies,15.75B
HMSY,HMS Holdings Corp.,Healthcare,Health Information Services,3.26B
CHKP,Check Point Software Technologies Ltd.,Technology,Software - Application,16.47B
THS,"TreeHouse Foods, Inc.",Consumer Defensive,Packaged Foods,2.98B
INMD,InMode Ltd.,Healthcare,Medical Devices,2.75B
MIC,Macquarie Infrastructure Corporation,Industrials,Airports & Air Services,2.81B
HAIN,"The Hain Celestial Group, Inc.",Consumer Defensive,Packaged Foods,4.51B
NAV,Navistar International Corporation,Industrials,Farm & Heavy Construction Machinery,4.39B
NUS,"Nu Skin Enterprises, Inc.",Consumer Defensive,Household & Personal Products,2.68B
MTLS,Materialise NV,Technology,Software - Application,2.43B
SIVB,SVB Financial Group,Financial,Banks - Regional,28.81B
WMS,"Advanced Drainage Systems, Inc.",Industrials,Building Products & Equipment,7.61B
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,5.35B
IRBT,iRobot Corporation,Technology,Consumer Electronics,3.63B
DEN,Denbury Inc.,Energy,Oil & Gas E&P,2.11B
KYMR,"Kymera Therapeutics, Inc.",Healthcare,Biotechnology,2.82B
TNL,Travel + Leisure Co.,Consumer Cyclical,Travel Services,5.62B
ENIC,Enel Chile S.A.,Utilities,Utilities - Regulated Electric,5.36B
CLGX,"CoreLogic, Inc.",Technology,Information Technology Services,5.81B
NEWR,"New Relic, Inc.",Technology,Software - Infrastructure,4.05B
IMO,Imperial Oil Limited,Energy,Oil & Gas Integrated,18.44B
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,61.47B
LILAK,Liberty Latin America Ltd.,Communication Services,Telecom Services,2.63B
OMCL,"Omnicell, Inc.",Healthcare,Health Information Services,5.94B
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,26.28B
SIG,Signet Jewelers Limited,Consumer Cyclical,Luxury Goods,3.10B
LEGN,Legend Biotech Corporation,Healthcare,Biotechnology,3.40B
ZG,"Zillow Group, Inc.",Communication Services,Internet Content & Information,37.90B
EVR,Evercore Inc.,Financial,Capital Markets,6.61B
DRNA,"Dicerna Pharmaceuticals, Inc.",Healthcare,Biotechnology,2.09B
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,43.87B
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,232.63B
PODD,Insulet Corporation,Healthcare,Medical Devices,17.67B
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,33.66B
SJI,"South Jersey Industries, Inc.",Utilities,Utilities - Diversified,2.83B
EQIX,"Equinix, Inc. (REIT)",Real Estate,REIT - Specialty,58.59B
BVN,Compania de Minas Buenaventura S.A.A.,Basic Materials,Other Precious Metals & Mining,2.44B
AVLR,"Avalara, Inc.",Technology,Software - Application,12.56B
SGEN,Seagen Inc.,Healthcare,Biotechnology,27.91B
SGMS,Scientific Games Corporation,Consumer Cyclical,Gambling,4.62B
TX,Ternium S.A.,Basic Materials,Steel,7.28B
BURL,"Burlington Stores, Inc.",Consumer Cyclical,Apparel Retail,20.42B
HRC,"Hill-Rom Holdings, Inc.",Healthcare,Medical Instruments & Supplies,7.31B
BKE,"The Buckle, Inc.",Consumer Cyclical,Apparel Retail,2.12B
NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,131.61B
MDC,"M.D.C. Holdings, Inc.",Consumer Cyclical,Residential Construction,4.28B
WERN,"Werner Enterprises, Inc.",Industrials,Trucking,3.13B
WWE,"World Wrestling Entertainment, Inc.",Communication Services,Entertainment,4.57B
XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,2.34B
BPMC,Blueprint Medicines Corporation,Healthcare,Biotechnology,6.02B
MCRB,"Seres Therapeutics, Inc.",Healthcare,Biotechnology,2.14B
FBC,"Flagstar Bancorp, Inc.",Financial,Banks - Regional,2.60B
SANA,"Sana Biotechnology, Inc.",Healthcare,Biotechnology,4.82B
AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,10.00B
PTC,PTC Inc.,Technology,Software - Application,16.46B
BDC,Belden Inc.,Industrials,Electrical Equipment & Parts,2.03B
APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,Biotechnology,4.06B
ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts,4.71B
LAUR,"Laureate Education, Inc.",Consumer Defensive,Education & Training Services,2.83B
WAL,Western Alliance Bancorporation,Financial,Banks - Regional,10.04B
UFS,Domtar Corporation,Basic Materials,Paper & Paper Products,2.05B
AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,2.47B
